"components"	"count"	"rule"	"step"
"(I, \"minor\")"	2.15122157368559	"CFRule(plagal_prep)"	2
"(I, \"minor\")"	2.0491869860128498	"CFRule(rule430)"	2
"(I, \"minor\")"	2.0111856106526225	"CFRule(diatonic_subs)"	2
"(I, \"minor\")"	1.5813607053408676	"CFRule(rule431)"	2
"(I, \"minor\")"	0.3736083447745123	"CFRule(mode_change)"	2
"(I, \"minor\")"	0.2411170395479322	"CFRule(prolongation)"	2
"(II, \"major\")"	5.571746008094552	"CFRule(rule415)"	2
"(II, \"major\")"	0.6409863686352435	"CFRule(dominant_prep)"	2
"(II, \"major\")"	0.462177368756575	"CFRule(diatonic_subs)"	2
"(II, \"major\")"	0.27492757286737846	"CFRule(rule414)"	2
"(II, \"major\")"	0.24416163530754836	"CFRule(modulation)"	2
"(II, \"major\")"	0.054257013647414504	"CFRule(diatonic_prep)"	2
"(II, \"major\")"	0.028843926782200296	"CFRule(prolongation)"	2
"(II, \"minor\")"	3.8414569989720313	"CFRule(rule432)"	2
"(II, \"minor\")"	2.2610506238611894	"CFRule(diatonic_subs)"	2
"(II, \"minor\")"	1.2647849041502872	"CFRule(dominant_prep)"	2
"(II, \"minor\")"	0.5854221018828195	"CFRule(modulation)"	2
"(II, \"minor\")"	0.4760446467649648	"CFRule(diatonic_prep)"	2
"(II, \"minor\")"	0.12028095549954414	"CFRule(prolongation)"	2
"(III, \"major\")"	3.337805527574017	"CFRule(dominant_prep)"	2
"(III, \"major\")"	2.1533321589208665	"CFRule(rule417)"	2
"(III, \"major\")"	1.1748351676496889	"CFRule(prolongation)"	2
"(III, \"major\")"	0.5766494822981643	"CFRule(diatonic_prep)"	2
"(III, \"major\")"	0.5	"CFRule(rule416)"	2
"(III, \"major\")"	0.049147904423000634	"CFRule(modulation)"	2
"(III, \"minor\")"	3.3001999044513557	"CFRule(rule434)"	2
"(III, \"minor\")"	2.2348239806858263	"CFRule(rule435)"	2
"(III, \"minor\")"	1.6856177702369861	"CFRule(rule433)"	2
"(III, \"minor\")"	1.1984803598756337	"CFRule(dominant_prep)"	2
"(III, \"minor\")"	1.0968004872916044	"CFRule(prolongation)"	2
"(III, \"minor\")"	0.34054361877945283	"CFRule(modulation)"	2
"(III, \"minor\")"	0.30392675793990453	"CFRule(diatonic_prep)"	2
"(IV, \"major\")"	6.873560713039696	"CFRule(rule420)"	2
"(IV, \"major\")"	3.3306062336120474	"CFRule(prolongation)"	2
"(IV, \"major\")"	2.296699259749119	"CFRule(rule418)"	2
"(IV, \"major\")"	1.8307435121536584	"CFRule(rule419)"	2
"(IV, \"major\")"	1.7308453488084643	"CFRule(dominant_prep)"	2
"(IV, \"major\")"	0.3178541992511255	"CFRule(modulation)"	2
"(IV, \"minor\")"	1.7832863565115518	"CFRule(modulation)"	2
"(IV, \"minor\")"	1.5619974420388483	"CFRule(dominant_prep)"	2
"(IV, \"minor\")"	1.342074575825754	"CFRule(rule437)"	2
"(IV, \"minor\")"	0.5	"CFRule(rule436)"	2
"(IV, \"minor\")"	0.25596394082033425	"CFRule(prolongation)"	2
"(V, \"major\")"	7.303361784861548	"CFRule(rule422)"	2
"(V, \"major\")"	6.861817554285172	"CFRule(diatonic_prep)"	2
"(V, \"major\")"	5.297006111204368	"CFRule(dominant_prep)"	2
"(V, \"major\")"	3.7897125307846835	"CFRule(octa_dom_subs9)"	2
"(V, \"major\")"	2.8742910129395707	"CFRule(diatonic_subs)"	2
"(V, \"major\")"	2.2962503744983427	"CFRule(rule424)"	2
"(V, \"major\")"	2.295111071259461	"CFRule(prolongation)"	2
"(V, \"major\")"	1.9455617358075017	"CFRule(octa_dom_subs6)"	2
"(V, \"major\")"	1.608771727290232	"CFRule(octa_dom_subs3)"	2
"(V, \"major\")"	0.29867668023153104	"CFRule(modulation)"	2
"(V, \"major\")"	0.2	"CFRule(rule451)"	2
"(V, \"major\")"	0.2	"CFRule(rule423)"	2
"(V, \"major\")"	0.14105245956050388	"CFRule(rule421)"	2
"(V, \"minor\")"	5.284441343390462	"CFRule(rule441)"	2
"(V, \"minor\")"	2.758863117347673	"CFRule(rule439)"	2
"(V, \"minor\")"	2.3367024498047226	"CFRule(diatonic_prep)"	2
"(V, \"minor\")"	1.631908314444501	"CFRule(diatonic_subs)"	2
"(V, \"minor\")"	1.5601566055415141	"CFRule(dominant_prep)"	2
"(V, \"minor\")"	1.40163854015863	"CFRule(modulation)"	2
"(V, \"minor\")"	1.2989891847344632	"CFRule(octa_dom_subs9)"	2
"(V, \"minor\")"	0.9539666460106014	"CFRule(rule440)"	2
"(V, \"minor\")"	0.9216208358970089	"CFRule(octa_dom_subs3)"	2
"(V, \"minor\")"	0.8330787712437316	"CFRule(rule443)"	2
"(V, \"minor\")"	0.7424881673181289	"CFRule(octa_dom_subs6)"	2
"(V, \"minor\")"	0.45507379666742703	"CFRule(prolongation)"	2
"(V, \"minor\")"	0.16666666666666666	"CFRule(rule442)"	2
"(V, \"minor\")"	0.08271107876799037	"CFRule(rule438)"	2
"(VI, \"major\")"	10.316140267273234	"CFRule(rule425)"	2
"(VI, \"major\")"	1.03489201616816	"CFRule(modulation)"	2
"(VI, \"major\")"	0.5273952761668843	"CFRule(diatonic_prep)"	2
"(VI, \"major\")"	0.47070927046816924	"CFRule(prolongation)"	2
"(VI, \"major\")"	0.27110230912384636	"CFRule(dominant_prep)"	2
