"components"	"count"	"rule"	"step"
"(I, \"major\")"	235.34253381115997	"CFRule(^_termination)"	1
"(I, \"minor\")"	1420.1978873840446	"CFRule(diatonic_subs)"	1
"(I, \"minor\")"	1143.058092546078	"CFRule(m7_termination)"	1
"(I, \"minor\")"	663.9474323914193	"CFRule(diatonic_prep)"	1
"(I, \"minor\")"	567.5387149136591	"CFRule(mode_change)"	1
"(I, \"minor\")"	498.46385126936593	"CFRule(plagal_prep)"	1
"(I, \"minor\")"	389.3299020233739	"CFRule(prolongation)"	1
"(I, \"minor\")"	154.6809923906781	"CFRule(m_termination)"	1
"(I, \"minor\")"	78.1269658172519	"CFRule(m^7_termination)"	1
"(II, \"major\")"	690.7200687835959	"CFRule(m7_termination)"	1
"(II, \"major\")"	310.11271913007533	"CFRule(diatonic_subs)"	1
"(II, \"major\")"	254.69502143253536	"CFRule(modulation)"	1
"(II, \"major\")"	231.37436877883968	"CFRule(dominant_prep)"	1
"(II, \"major\")"	126.80660272584527	"CFRule(diatonic_prep)"	1
"(II, \"major\")"	108.2850728414443	"CFRule(prolongation)"	1
"(II, \"major\")"	34.06961806288965	"CFRule(m_termination)"	1
"(II, \"minor\")"	642.1544865483746	"CFRule(%7_termination)"	1
"(II, \"minor\")"	140.5233818942962	"CFRule(diatonic_subs)"	1
"(II, \"minor\")"	109.89079833658424	"CFRule(modulation)"	1
"(II, \"minor\")"	106.20801612038784	"CFRule(dominant_prep)"	1
"(II, \"minor\")"	93.21127511694691	"CFRule(diatonic_prep)"	1
"(II, \"minor\")"	67.27283362510536	"CFRule(prolongation)"	1
"(III, \"major\")"	224.10033465898937	"CFRule(m7_termination)"	1
"(III, \"major\")"	120.52971333428349	"CFRule(prolongation)"	1
"(III, \"major\")"	114.61090841856392	"CFRule(dominant_prep)"	1
"(III, \"major\")"	86.0686867180431	"CFRule(modulation)"	1
"(III, \"major\")"	20.677278164692375	"CFRule(m_termination)"	1
"(III, \"major\")"	7.075649734392625	"CFRule(diatonic_prep)"	1
"(III, \"minor\")"	1699.4614396000782	"CFRule(diatonic_prep)"	1
"(III, \"minor\")"	1671.8869690008346	"CFRule(prolongation)"	1
"(III, \"minor\")"	1445.4269373346256	"CFRule(^7_termination)"	1
"(III, \"minor\")"	718.5770980194402	"CFRule(modulation)"	1
"(III, \"minor\")"	681.1951035557003	"CFRule(6_termination)"	1
"(III, \"minor\")"	614.4029962545394	"CFRule(dominant_prep)"	1
"(III, \"minor\")"	276.46995438423596	"CFRule(^_termination)"	1
"(IV, \"major\")"	591.5541820343686	"CFRule(^7_termination)"	1
"(IV, \"major\")"	380.68692057942036	"CFRule(dominant_prep)"	1
"(IV, \"major\")"	372.6533686503973	"CFRule(modulation)"	1
"(IV, \"major\")"	359.72391805813345	"CFRule(prolongation)"	1
"(IV, \"major\")"	212.26056331657796	"CFRule(6_termination)"	1
"(IV, \"major\")"	98.98147016845499	"CFRule(^_termination)"	1
"(IV, \"minor\")"	1972.9613676831086	"CFRule(m7_termination)"	1
"(IV, \"minor\")"	855.283231511347	"CFRule(dominant_prep)"	1
